Jurisdiction Level,Office,Office Description,Link,linkurl,Notes
Alameda County,"Trustee, Board of Education","The Alameda County Board of Education consists of seven members, each elected from a different area of the county, who serve as the governing board for the schools and student services and programs operated by the County Superintendent of Schools. Some of the board’s responsibilities include approving policies and curriculums, approving annual budget, approving purchase or lease of property for programs, etc.","All Counties, via State and Census",https://data.ca.gov/sites/default/files/CA_Counties_0.zip,Countywide
Alameda County,Superintendent of Schools,"The Superintendent of Alameda County Schools works to ensure that every student benefits from a quality education, no matter what their social condition may indicate about their chances for success. The Superintendent is the chief administrator for the County Office of Education and operates educational programs for students not served by district schools, including justice-involved, pregnant and parenting, foster and homeless youth, as well as infants with special needs.","All Counties, via State and Census",https://data.ca.gov/sites/default/files/CA_Counties_0.zip,Countywide
Alameda County,Assessor,,"All Counties, via State and Census",https://data.ca.gov/sites/default/files/CA_Counties_0.zip,Countywide
Alameda County,Auditor/Controller,,"All Counties, via State and Census",https://data.ca.gov/sites/default/files/CA_Counties_0.zip,Countywide
Alameda County,District Attorney,,"All Counties, via State and Census",https://data.ca.gov/sites/default/files/CA_Counties_0.zip,Countywide
Alameda County,Sheriff/Coroner,,"All Counties, via State and Census",https://data.ca.gov/sites/default/files/CA_Counties_0.zip,Countywide
Alameda County,Treasurer/Tax Collector,,"All Counties, via State and Census",https://data.ca.gov/sites/default/files/CA_Counties_0.zip,Countywide
Alameda County,Superior Court Judge,,"All Counties, via State and Census",https://data.ca.gov/sites/default/files/CA_Counties_0.zip,Countywide
Alameda County,County Supervisor,,"All Counties, via State and Census",https://data.ca.gov/sites/default/files/CA_Counties_0.zip,Countywide
California,State Assembly,,Via Statewide Database,http://statewidedatabase.org/geography.html,
California,State Senate,,Via Statewide Database,http://statewidedatabase.org/geography.html,
California,Board of Equalization,,Via Statewide Database,http://statewidedatabase.org/pub/data/GEOGRAPHY/DECENNIAL2010/2011_boe_state_shp.zip,
City of Alameda,Mayor,,"All CA Cities, Via Caltrans",http://www.dot.ca.gov/hq/tsip/gis/datalibrary/zip/Boundaries/Cities2015.zip,Citywide
City of Alameda,Councilmember,,"All CA Cities, Via Caltrans",http://www.dot.ca.gov/hq/tsip/gis/datalibrary/zip/Boundaries/Cities2015.zip,Citywide
City of Alameda,Auditor,,"All CA Cities, Via Caltrans",http://www.dot.ca.gov/hq/tsip/gis/datalibrary/zip/Boundaries/Cities2015.zip,Citywide
City of Alameda,Treasurer,,"All CA Cities, Via Caltrans",http://www.dot.ca.gov/hq/tsip/gis/datalibrary/zip/Boundaries/Cities2015.zip,Citywide
City of Alameda,School Board Member,,"All CA Cities, Via Caltrans",http://www.dot.ca.gov/hq/tsip/gis/datalibrary/zip/Boundaries/Cities2015.zip,Citywide
City of Alameda,Healthcare District Director,,Via Alameda County Data Center,https://data.acgov.org/Geospatial-Data/Health-Care-Districts-within-Alameda-County/wad8-249m,"Export to Shapefile, linked with Eden and Washington"
City of Berkeley,Mayor,,"All CA Cities, Via Caltrans",http://www.dot.ca.gov/hq/tsip/gis/datalibrary/zip/Boundaries/Cities2015.zip,Citywide
City of Berkeley,Councilmember,,Via Alameda County Data Center,https://data.acgov.org/Geospatial-Data/City-Council-Districts-within-Alameda-County-2014-/xjgj-6a36,Export as shapefile. Linked with Oakland and San Leandro
City of Berkeley,City Auditor,,"All CA Cities, Via Caltrans",http://www.dot.ca.gov/hq/tsip/gis/datalibrary/zip/Boundaries/Cities2015.zip,Citywide
City of Berkeley,"Commisioner, Rent Stabilization Board",,"All CA Cities, Via Caltrans",http://www.dot.ca.gov/hq/tsip/gis/datalibrary/zip/Boundaries/Cities2015.zip,Citywide
City of Berkeley,School Board Director,,"All CA Cities, Via Caltrans",http://www.dot.ca.gov/hq/tsip/gis/datalibrary/zip/Boundaries/Cities2015.zip,Citywide
City of Fremont,Councilmember,,Via City,http://egis-cofgis.opendata.arcgis.com/datasets/271fe522bbc14225ac1e89127f7c1d5e_0.zip,New for 2018 election
City of Oakland,Mayor,,"All CA Cities, Via Caltrans",http://www.dot.ca.gov/hq/tsip/gis/datalibrary/zip/Boundaries/Cities2015.zip,Citywide
City of Oakland,City Council,,Via Alameda County Data Center,https://data.acgov.org/Geospatial-Data/City-Council-Districts-within-Alameda-County-2014-/xjgj-6a36,Export as shapefile. Linked with Berkeley and San Leandro
